acousticness,danceability,energy,id,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0.0329,0.772,0.686,6tYVr8gNt5FYMCNlXS45TD,0.0,0.0797,-10.669,0.208,160.035,0.543,rock
0.426,0.575,0.407,0FgdvxRjylem2R1ZP38UEK,0.0,0.289,-9.393,0.129,139.949,0.187,rap
0.426,0.575,0.407,0FgdvxRjylem2R1ZP38UEK,0.0,0.289,-9.393,0.129,139.949,0.187,rock
0.21,0.756,0.441,3RwuCPo5FXUwJrjdco2uwN,0.0,0.183,-11.86,0.403,72.342,0.408,rap
0.00481,0.762,0.555,3Yo31KSVzB0g8rdWncbFCp,0.0,0.14,-8.697,0.194,75.018,0.955,rap
0.408,0.386,0.849,2pNmNYkwUNzyzjYSZzlyPb,0.0,0.134,-8.168,0.291,90.384,0.906,rap
0.408,0.386,0.849,2pNmNYkwUNzyzjYSZzlyPb,0.0,0.134,-8.168,0.291,90.384,0.906,pop
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,rap
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,jazz
0.0812,0.589,0.874,0nQRHEFAmxrACvpJ2nEdKm,5.65e-06,0.32,-4.144,0.0512,167.016,0.633,rock
0.141,0.798,0.628,0hUyQyHvq53DDUC5IHn7Be,0.0,0.066,-6.885,0.203,94.686,0.964,rap
0.141,0.798,0.628,0hUyQyHvq53DDUC5IHn7Be,0.0,0.066,-6.885,0.203,94.686,0.964,pop
0.031,0.522,0.797,3KC7vr5I6oj3pp7BktXe1b,0.0,0.307,-5.712,0.299,80.124,0.443,rap
0.174,0.86,0.592,0XXDk4tK0LxfWzWn0nrAi7,1.48e-05,0.102,-10.945,0.342,160.016,0.465,rap
0.222,0.71,0.451,24ADhNp5RYkwYoKDjlsUPO,6.38e-05,0.21,-11.018,0.314,173.085,0.105,rap
0.519,0.662,0.656,5GVLQ1aB1GFeRCvh6AFWvk,0.0,0.0861,-5.113,0.11,150.039,0.216,rap
0.131,0.692,0.752,7kTwisVlOVlPCiiAic7QRL,0.0,0.108,-8.408,0.411,95.047,0.434,rap
0.131,0.692,0.752,7kTwisVlOVlPCiiAic7QRL,0.0,0.108,-8.408,0.411,95.047,0.434,pop
0.131,0.692,0.752,7kTwisVlOVlPCiiAic7QRL,0.0,0.108,-8.408,0.411,95.047,0.434,rock
0.0135,0.636,0.814,02QeSBzlLt187wPbD0ch1R,0.0,0.17,-6.108,0.22,169.895,0.76,rap
0.0135,0.636,0.814,02QeSBzlLt187wPbD0ch1R,0.0,0.17,-6.108,0.22,169.895,0.76,pop
0.03,0.615,0.854,6H8XvrEfBxNO9EyyPG4KOn,0.000401,0.803,-1.892,0.0385,130.999,0.491,rap
0.03,0.615,0.854,6H8XvrEfBxNO9EyyPG4KOn,0.000401,0.803,-1.892,0.0385,130.999,0.491,rock
0.0212,0.661,0.485,2hzo6rlmLQsfcgs4IOom55,0.906,0.132,-11.099,0.0712,82.952,0.718,rap
0.0212,0.661,0.485,2hzo6rlmLQsfcgs4IOom55,0.906,0.132,-11.099,0.0712,82.952,0.718,jazz
0.0212,0.661,0.485,2hzo6rlmLQsfcgs4IOom55,0.906,0.132,-11.099,0.0712,82.952,0.718,rock
0.218,0.652,0.774,7BQOAIOo3Lx2irG3MCxjxZ,0.868,0.428,-6.766,0.0318,109.972,0.105,rap
0.0492,0.694,0.246,7khilOb3qebNGtT1JtxXnr,0.879,0.0599,-20.714,0.233,165.02,0.324,rap
0.909,0.404,0.237,17kWOrWOYvIoCrAJMbFqM0,0.403,0.277,-16.888,0.0359,148.518,0.271,rap
0.652,0.322,0.228,63rxCYSgwiesC7BbfDTfSb,0.934,0.113,-14.889,0.0303,100.016,0.277,rap
0.133,0.718,0.766,3DuTzjTeXkWer5EmYuzAgk,0.0,0.087,-4.957,0.499,159.96,0.348,rap
0.809,0.748,0.754,6ME97TQMf7oh1mdrQOapuJ,0.203,0.216,-9.631,0.0779,124.143,0.249,rap
0.809,0.748,0.754,6ME97TQMf7oh1mdrQOapuJ,0.203,0.216,-9.631,0.0779,124.143,0.249,rock
0.0783,0.799,0.804,2Ho8hEBmb4HaPDBWqFwdgj,0.0,0.287,-5.912,0.23,90.019,0.466,rap
0.0783,0.799,0.804,2Ho8hEBmb4HaPDBWqFwdgj,0.0,0.287,-5.912,0.23,90.019,0.466,rock
0.543,0.719,0.388,4G47CVgIDKe6Y7FDBo8ioe,0.188,0.112,-15.518,0.0291,108.117,0.201,rap
0.0981,0.741,0.514,7bLQyLH7UPexb7J8YbQvOV,0.0,0.17,-9.669,0.392,164.075,0.637,rap
0.113,0.711,0.494,3t2gA0RoZWF3XUsa2jYOeF,0.0,0.0925,-9.321,0.275,148.145,0.087,rap
0.113,0.711,0.494,3t2gA0RoZWF3XUsa2jYOeF,0.0,0.0925,-9.321,0.275,148.145,0.087,pop
0.113,0.711,0.494,3t2gA0RoZWF3XUsa2jYOeF,0.0,0.0925,-9.321,0.275,148.145,0.087,pop
0.113,0.711,0.494,3t2gA0RoZWF3XUsa2jYOeF,0.0,0.0925,-9.321,0.275,148.145,0.087,rock
0.00705,0.817,0.653,3zYhsMpkZipoOvlgZGomca,0.00591,0.069,-7.55,0.058,124.101,0.684,rap
0.00705,0.817,0.653,3zYhsMpkZipoOvlgZGomca,0.00591,0.069,-7.55,0.058,124.101,0.684,pop
0.0118,0.661,0.793,32kftlA4RpQWR9baJ4Olem,0.0,0.186,-5.781,0.0393,93.032,0.316,rap
0.0118,0.661,0.793,32kftlA4RpQWR9baJ4Olem,0.0,0.186,-5.781,0.0393,93.032,0.316,jazz
0.871,0.834,0.429,763J09G70ZtQlQi5G6LZpp,0.000321,0.146,-12.138,0.512,145.011,0.307,rap
0.871,0.834,0.429,763J09G70ZtQlQi5G6LZpp,0.000321,0.146,-12.138,0.512,145.011,0.307,rock
0.145,0.764,0.707,56AVVIFuGbRxXwjmaOLpQp,2.19e-05,0.106,-4.907,0.0526,106.005,0.727,rap
0.00211,0.62,0.754,60npgxGNxlS5gsFOOikoWo,0.00094,0.692,-7.841,0.0893,121.42,0.0753,rap
0.00211,0.62,0.754,60npgxGNxlS5gsFOOikoWo,0.00094,0.692,-7.841,0.0893,121.42,0.0753,rock
0.182,0.736,0.491,6XuK34jTMMqVgnXuKsYJlo,0.909,0.0841,-15.919,0.0826,76.473,0.96,rap
0.527,0.81,0.475,2VNe9ZUWrIn5QEyIlcYWfb,0.000139,0.208,-10.545,0.299,98.514,0.0909,rap
0.59,0.644,0.672,6fyipcbqbJej8kMxu2Vj4m,1.38e-05,0.315,-8.553,0.0828,136.902,0.688,rap
0.59,0.644,0.672,6fyipcbqbJej8kMxu2Vj4m,1.38e-05,0.315,-8.553,0.0828,136.902,0.688,rock
0.102,0.74,0.652,1p4b62wAKnhN17WrxwVYqS,0.0,0.171,-7.583,0.189,94.02,0.657,rap
0.00424,0.712,0.409,2yFz8xwNo2G9m6LbErRbCs,0.855,0.125,-13.821,0.102,174.012,0.614,rap
0.106,0.703,0.434,0fDb7RKkK6KkzPIPWBmWtU,0.0,0.537,-13.204,0.323,116.911,0.371,rap
0.0138,0.77,0.582,68tbGTklabO1wdfrRqD7zD,0.0199,0.108,-9.202,0.245,170.029,0.211,rap
0.00699,0.715,0.692,3G8GeEl4FQvn2JEjkTEV2h,0.000121,0.118,-6.589,0.338,84.942,0.766,rap
0.00699,0.715,0.692,3G8GeEl4FQvn2JEjkTEV2h,0.000121,0.118,-6.589,0.338,84.942,0.766,rock
0.281,0.616,0.488,7K2aQPCgtZ5XR9XlToyf80,0.0,0.223,-10.333,0.481,101.039,0.148,rap
0.281,0.616,0.488,7K2aQPCgtZ5XR9XlToyf80,0.0,0.223,-10.333,0.481,101.039,0.148,rock
0.281,0.616,0.488,7K2aQPCgtZ5XR9XlToyf80,0.0,0.223,-10.333,0.481,101.039,0.148,rock
0.101,0.872,0.337,6gHCUXVghUzJGnom6vlKUs,0.901,0.119,-7.052,0.0603,131.009,0.336,rap
0.615,0.626,0.379,4WZKRSg2giVLHJ2AYd6NSb,0.916,0.108,-18.125,0.0438,92.48,0.306,rap
0.615,0.626,0.379,4WZKRSg2giVLHJ2AYd6NSb,0.916,0.108,-18.125,0.0438,92.48,0.306,jazz
0.615,0.626,0.379,4WZKRSg2giVLHJ2AYd6NSb,0.916,0.108,-18.125,0.0438,92.48,0.306,pop
0.0328,0.444,0.863,03Ks3QnsWaSXIdFOKeGP0j,0.0,0.144,-5.319,0.333,141.081,0.137,rap
0.492,0.653,0.661,10eVsqHlQrza9wrAdtnfiG,0.0,0.0706,-5.13,0.116,150.084,0.278,rap
0.0206,0.64,0.541,2J7soWoUb4WyW50HGzrCrz,6.32e-05,0.121,-9.401,0.512,184.063,0.487,rap
0.0222,0.816,0.434,393COPRE0lKftzfdm3WVKU,0.0,0.0711,-8.065,0.5,172.784,0.366,rap
0.26,0.685,0.69,5mRZ8B4ahBz0BwUcYr5ImF,0.0,0.176,-7.091,0.296,159.948,0.866,rap
0.297,0.441,0.833,4lFTXCqh81hSIgm3PHvTjx,0.0,0.37,-8.004,0.279,90.896,0.827,rap
0.297,0.441,0.833,4lFTXCqh81hSIgm3PHvTjx,0.0,0.37,-8.004,0.279,90.896,0.827,rock
0.505,0.608,0.891,4IX9VaQa7p21mmACshZM1M,0.0,0.746,-0.72,0.382,175.1,0.529,rap
0.505,0.608,0.891,4IX9VaQa7p21mmACshZM1M,0.0,0.746,-0.72,0.382,175.1,0.529,pop
0.505,0.608,0.891,4IX9VaQa7p21mmACshZM1M,0.0,0.746,-0.72,0.382,175.1,0.529,rock
0.505,0.608,0.891,4IX9VaQa7p21mmACshZM1M,0.0,0.746,-0.72,0.382,175.1,0.529,rock
